Waktu;Username;Text
2022-02-04 21:46:08+00:00;Lism;b'RT Dari semua order GoFood di tahun 2021 ada satu momen yang paling gue inget Ngambil pesanan gofood ke gang'
2022-02-04 21:48:16+00:00;AL;b'nuggetpisang Variant ChocoBengs Nugget pisang dengan Krim Coklat an Topping Bengbeng Harga Rp15 000 Diluar O'
2022-02-04 22:05:03+00:00;raya.gitu;b'RT Magrib hujan deras nganter gofood ke perumahan alamat hanya nama perumahan Dr awal sy tlp utk ingetin via ch'
2022-02-04 22:20:51+00:00;Dwi Nazwa;b'Dari semua momen di tahun 2021 ada satu momen yang paling berkesan yaitu kejoG2021 KasihJempol beliin keluarga m'
2022-02-04 22:31:15+00:00;Nanda Garin (??);b'Thanks gofood dah ngasih aku diskon gedhe'
2022-02-04 22:33:21+00:00;Safin Mauludi M;b'Gofood aja kak nasi uduknya'
2022-02-04 22:40:39+00:00;Pecinta_Stright;b'Iya sih sistem ratingnya itu mengerikan Dlu itu pernah nmu driver nganterin gofood terus dia bawa i'
2022-02-04 22:40:50+00:00;Farah Naili;b'Dari semua momen di tahun 2021 ada satu momen yang paling berkesan yaitu kejoG2021 KasihJempol beliin keluarga m'
2022-02-04 22:42:41+00:00;Alli. || HiTae??;b'Min bisa pesen daei gofood atau shopeefood aja ga ini'
2022-02-04 22:55:31+00:00;Holly Tan ??;b'coba buka gofood'
2022-02-04 23:09:01+00:00;Bubu;b'Wtb voc vc voucher gofood pot 25k 25 80 kalau bisa yang gofood zonauang Wtb wts sell buy beli jual'
2022-02-04 23:14:06+00:00;io;b'ian mau gofood nya boleh buat dipakek sekarang'
2022-02-04 23:21:29+00:00;Irfan;b'WTS Voucher Gofood Diskon 50 gratis ongkir 7ribu Min Pembelian Rp 20 000 Fee 5k voucher OVO D'
2022-02-04 23:21:42+00:00;Irfan;b'WTS Voucher Gofood Diskon 50 gratis ongkir 7ribu Min Pembelian Rp 20 000 Fee 5k voucher OVO Da'
2022-02-04 23:24:00+00:00;cuman pekerja film;b'cuttfitrii Gofood sosisnya'
2022-02-04 23:28:14+00:00;2Tea Indonesia;b'Halo kakak bisa Gofood yaa'
2022-02-04 23:34:11+00:00;Fika;b'Orang abis putus mending di gofood in apa ya Bingung'
2022-02-04 23:42:01+00:00;ndra.;b'Gapapa kita bisa gofood aja'
2022-02-04 23:45:44+00:00;apii;b'tp jujurly masih ngantuk bett td trus laper pengen gofood buryam nih jadinya huhu'
2022-02-04 23:49:14+00:00;borjuis zuhud;b'Biasanya aku kasih link screenshot gofood Grabfood tentang makanan yang aku konsumsi agar dia bisa pesan sendiri'
2022-02-04 23:55:04+00:00;Wishnu Rohm Riyanto;b'Ini grab ya Kalau gofood suka otomatis ke pasang ni tapi belum dapat Aku cek GR b aku kaga ada ihhh'
2022-02-04 23:58:49+00:00;wak??;b'Fi gofood in ayang fik'
2022-02-04 23:58:50+00:00;Bianca;b'ajr jd pgn gofood in dong mas'
2022-02-05 00:01:39+00:00;open. fsr ke wa;b'wts voc gofood 25 80 sisa 1voc serious buyer only punya saldo traffic bun sama janjiw 80rb an jadi cuma under 10'
2022-02-05 00:07:29+00:00;anna;b'jam 7 pagi gue gofood taichan hebat bgt'
2022-02-05 00:08:47+00:00;Jeck Bang;b'RT Nunggu gofood lama Gk kerasa habis 1 jagung'
2022-02-05 00:10:01+00:00;nad deo;b'wts vc gofood min blj 25k pot 15k fee 2k zonauang'
2022-02-05 00:10:03+00:00;N;b'RT Magrib hujan deras nganter gofood ke perumahan alamat hanya nama perumahan Dr awal sy tlp utk ingetin via ch'
2022-02-05 00:10:32+00:00;meng;b'Pengen makan ngikan sambel matah belum buka nanti pas udh buka di gofood pasti beda lagi yang mau dimakan Dah tau'
2022-02-05 00:24:00+00:00;bucin garis keras;b'FESS aku sedia energen si nder soalnya pagi gini makan nasi mual km gofood bubur aja cuma keknya kalo gofoo'
2022-02-05 00:27:44+00:00;shilfi;b'Beberapa minggu terakhir ini merasa agak gak enak tapi seneng juga gara gara ngajarin guru guru tua pakai gofood'
2022-02-05 00:28:28+00:00;chaeng;b'Butuh voc gofood jabodetabek dong skrng zonauang'
2022-02-05 00:30:40+00:00;Ara;b'Wts voucher gofood gojek 30 min bel 25k Udah gofood Valid until 6 feb Fee 2k voc Boleh cek dulu all dom b'
2022-02-05 00:32:02+00:00;blubuk;b'udah aku tf ya gofood nya udh mau sampe yang'
2022-02-05 00:32:47+00:00;miss qixxi;b'Ready Voc goride 2 gocar 2 gofood 7 Gofood ada diskon untuk resto tertentu ga subs go plus ex order janji'
2022-02-05 00:34:21+00:00;Cii;b'Kemarin dua kali dapet pengalaman tidak menyenangkan saat beli makanan di gofood Driver nyasar mara'
2022-02-05 00:35:34+00:00;Luthfi Yahya;b'Gofood lagi baik ni tumben'
2022-02-05 00:35:48+00:00;KangHer;b'ws Online Untuk melindungi perempuan mungkin perlu memperbaiki aplikasinya misal utk'
2022-02-05 00:37:53+00:00;barter kuesioner jakarta;b'Hallo saya membutuhkan kriteria responden 1 Berusia minimal 15 tahun 2 Tinggal di DKI Jakarta 3 Pernah memesan'
2022-02-05 00:38:07+00:00;barter kuesioner jakarta;b'RT Hallo saya membutuhkan kriteria responden 1 Berusia minimal 15 tahun 2 Tinggal di DKI Jakarta 3 Pernah memesan mak'
2022-02-05 00:38:55+00:00;za? opress pulsa & kuota;b'Ya Allah ini nggak ada yg mau gofood in gue brownies apa ya'
2022-02-05 00:41:36+00:00;barter kuesioner jakarta;b'Selamat pagi kak Boleh RT tweet saya Saya membutuhkan banyak responden saat ini yang tinggal di Jaka'
2022-02-05 00:44:54+00:00;barter kuesioner jakarta;b'elamat pagi kak Boleh RT tweet saya Saya membutuhkan banyak responden saat ini yang tinggal di Jak'
2022-02-05 00:46:56+00:00;Ayla Halina;b'Dari semua momen di tahun 2021 ada satu momen yang paling berkesan yaitu kejoG2021 KasihJempol beliin keluarga m'
2022-02-05 00:54:47+00:00;Bayu Prada;b'Dari semua momen di tahun 2021 ada satu momen yang paling berkesan yaitu kejoG2021 KasihJempol beliin keluarga m'
2022-02-05 00:54:50+00:00;Ayaang.;b'Guys tawarin voc gofood yg udah goplus donk'
2022-02-05 00:56:32+00:00;lets go;b'Ada yg punya voucher gofood 30 30k dll Bisa dm ku gak Btw yg di gofoodnya ada promo resto starbucks ya zonauang vouchergofood'
2022-02-05 01:03:31+00:00;Creamiest Boba in Town;b'BEAR BOBBA LOWOKWARU 50 Disc ShopeeFood GrabFood GoFood Boba Brown Sugar 13K BigCup22oz'
2022-02-05 01:05:02+00:00;Kabar Malang;b'RT BEAR BOBBA LOWOKWARU 50 Disc ShopeeFood GrabFood GoFood Boba Brown Sugar 13K BigCup22oz Inf'
2022-02-05 01:08:47+00:00;uwik;b'Drama pagi dengan diskon gofood banyak sekalinya maunya baru 20rb ji uangnya'
2022-02-05 01:13:11+00:00;lia??;b'janji jiwa promo gofood 500 perak'
2022-02-05 01:15:52+00:00;Nastisetiabudi;b'Guys kita udah open ya kuy dipesen via gofood dan grabfood Mingor'
2022-02-05 01:20:09+00:00;jeff;b'Yoook jajan yook Available gofood grabfood Shopee uni asha'
2022-02-05 01:22:27+00:00;sha —;b'kak ada gofood potongan 25k'
2022-02-05 01:27:02+00:00;?;b'wts voc gofood 25 80 fee 3 5k belum g untuk 1 orang tercepat di dm'
2022-02-05 01:28:53+00:00;moonlighttt;b'Mau voc voucher gofood 25 80 dongg zonauang'
2022-02-05 01:33:09+00:00;ray flop era;b'blh aj soalny lg murah ntar via bluetooth ap gofood'
2022-02-05 01:38:20+00:00;Irfan;b'hank WTS Voucher Gofood Diskon 50 gratis ongkir 7ribu Min Pembelian Rp 20 000 Fee 5k voucher OVO'
2022-02-05 01:38:38+00:00;hmmmm;b'Wtb voucher gofood Need yg ada paylater amp gofood'
2022-02-05 01:41:13+00:00;??;b'Voucher voc vc gofood 30 130 Udah g pot ongkir 10k Ada gpylater bisa cek dulu rata rata diskon besar hanya pagi'
2022-02-05 01:42:41+00:00;Dendi Wisnu;b'Dari semua momen di tahun 2021 ada satu momen yang paling berkesan yaitu kejoG2021 KasihJempol beliin keluarga m'
2022-02-05 01:42:59+00:00;andi;b'alias sayangilah orang tua anda adik dan kakak anda ekonomiiiiii gofood grabfood shopeefood travelokaea'
2022-02-05 01:47:50+00:00;Kuspinasti;b'Dari semua order GoFood di Tahun 2021 ada satu momen yang paling gue inget kejoG2021 KasihJempol'
2022-02-05 01:48:28+00:00;Dapur Nalira;b'WONDER WOMEN Benar Sekali kata PEPATAH BUAH JATUH TIDAK JAUH DARI POHONNYA DAPUR NALIRA Tersedia di GRAB'
2022-02-05 01:49:30+00:00;Dini Musdalifah;b'Dari semua momen di tahun 2021 ada satu momen yang paling berkesan yaitu kejoG2021 KasihJempol beliin keluarga m'
2022-02-05 01:50:02+00:00;Kabar Malang;b'RT WONDER WOMEN Benar Sekali kata PEPATAH BUAH JATUH TIDAK JAUH DARI POHONNYA DAPUR NALIRA Tersedia di GRAB FOOD'
2022-02-05 01:50:44+00:00;miss qixxi;b'Update Voc goride 1 gocar 2 gofood 6 Gofood ada diskon tambahan untuk resto tertentu ga subs go plus ex'
2022-02-05 01:51:30+00:00;theoo;b'haduh gatau kalau gofood wkwk'
2022-02-05 01:53:24+00:00;ca | BIGWIN;b'Wtb voc gofood yg bisa paylatter gpaylatter zonauang zonajajan'
2022-02-05 01:54:44+00:00;ca | BIGWIN;b'Wtb voc gofood yg bisa paylater gpaylater zonauang zonajajan'
2022-02-05 01:57:55+00:00;Biru;b'Aku biasanya beli di gofood langsung ada tulisannya jamu haid gt nay'
2022-02-05 01:59:46+00:00;Carissa.;b'IIHHH ENAKK bikin sendiri kah Kalo aku nungguin gofood hahaha'
2022-02-05 02:01:23+00:00;GojekTomohon;b'Laper tapi mager GoFood in Aja dan mulai HidupTanpaBatas dengan Gojek follow kita ya di GojekTomohon kaka'
2022-02-05 02:02:37+00:00;alea;b'ini point coffee gak ada di gofood atau shopeefood ape'
2022-02-05 02:02:59+00:00;Avary;b'Bisa via gofood grabfood shopeefood kayanya semua bisa kok'
2022-02-05 02:03:32+00:00;Lukman Aldiansyah;b'Ada yg mau gak voucher gofood Surabaya vouchergojek gofood the power of paylater'
2022-02-05 02:07:04+00:00;-;b'Gofood kopi kenangan 3 minuman sama 5 minuman plus 2 roti harganya hampir sama ya aku pilih beli 5 plus roti lah'
2022-02-05 02:10:03+00:00;ppp! patuhi rules.;b'ppp mau voc gofood 25 80 yg ada saldo 80k an diskon ongkir gofood'
2022-02-05 02:11:58+00:00;wanda;b'wts voucher gofood ada 8 pcs minbel 80k saldo aman zonauang'
2022-02-05 02:12:02+00:00;Sarah Fauzia Siregar;b'pengen kopi mardika tapi jauh bgt kl gofood abangnya kasian kepalang cair ampe rmh hhhhhhhhhhhh'
2022-02-05 02:13:30+00:00;shea. • mt after dm / fastresp on wa •;b'diskon ongkir gofood nya ada ga kak'
2022-02-05 02:14:51+00:00;nad deo;b'up wts vc gofood min blj 25k pot 15k fee 2k zonauang'
2022-02-05 02:15:01+00:00;Databoks Indonesia;b'Raih Rp 109 4 triliun GrabFood lampaui GoFood dan ShopeeFood sebagai perusahaan pesan antar makanan dengan nilai t'
2022-02-05 02:15:54+00:00;GojekTomohon;b'Kenyang tanpa masak GoFood in aja Download Gojek dan mulai HidupTanpaBatas di Tomohon HidupTanpaBatas GojekTomohon'
2022-02-05 02:20:59+00:00;ta ?;b'masih ada voc gofood nih yang mau langsung dm aja free btw zonauang zonajajan'
2022-02-05 02:20:59+00:00;ta ?;b'masih ada voc gofood nih yang mau langsung dm aja free btw zonauang zonajajan'
2022-02-05 02:21:24+00:00;Carissa.;b'Belum heheh nunggu gofood nya datang nih Kalo adek udah sarapan kah'
2022-02-05 02:21:24+00:00;Carissa.;b'Belum heheh nunggu gofood nya datang nih Kalo adek udah sarapan kah'
2022-02-05 02:22:18+00:00;Irfan;b'enaknya sarapan apa ges yg under 25K Jangan lupa beli voucher disini Diskon 50 gratis ongkir 7ribu bisa ga'
2022-02-05 02:22:18+00:00;Irfan;b'enaknya sarapan apa ges yg under 25K Jangan lupa beli voucher disini Diskon 50 gratis ongkir 7ribu bisa ga'
2022-02-05 02:22:36+00:00;galaxy | cairin voucher gopay;b'Yaampun kenapasi yg nawarin voucher gofood pada slr Keburu voucher restonya abis'
2022-02-05 02:22:36+00:00;galaxy | cairin voucher gopay;b'Yaampun kenapasi yg nawarin voucher gofood pada slr Keburu voucher restonya abis'
2022-02-05 02:26:00+00:00;check my profile, i'm selling some stuff!;b'JUAL WTS VOUCHER GORIDE GOCAR GOFOOD GOBOX goride dan gocar SOLD gobox Diskon 60k fee 5k gofood diskon 30'
2022-02-05 02:26:00+00:00;check my profile, i'm selling some stuff!;b'JUAL WTS VOUCHER GORIDE GOCAR GOFOOD GOBOX goride dan gocar SOLD gobox Diskon 60k fee 5k gofood diskon 30'
2022-02-05 02:27:08+00:00;Geprek Bensu;b'Promo Hoki Weekend 3 Ayam mulai dari 33 000 Periode 4 6 Feb 2022 Berlaku Dine In Take Away Gofood Grabfood'
2022-02-05 02:27:08+00:00;Geprek Bensu;b'Promo Hoki Weekend 3 Ayam mulai dari 33 000 Periode 4 6 Feb 2022 Berlaku Dine In Take Away Gofood Grabfood'
2022-02-05 02:30:18+00:00;?? ?? ?? ?? ?? mt after dm;b'ada yang cari voucher voc gofood minbel 25k aja boleh cek harga duluu zonaba zonauang'
2022-02-05 02:30:18+00:00;?? ?? ?? ?? ?? mt after dm;b'ada yang cari voucher voc gofood minbel 25k aja boleh cek harga duluu zonaba zonauang'
2022-02-05 02:30:50+00:00;n;b'Keluarga juga karna tipe suka makan Setiap malem nanti sat set sat set gofood buat ngemil'
2022-02-05 02:30:50+00:00;n;b'Keluarga juga karna tipe suka makan Setiap malem nanti sat set sat set gofood buat ngemil'
2022-02-05 02:32:11+00:00;T I K A;b'bm milo dingin tapi mager ke indomaret masa harus gofood dari mekdi wkwk'
2022-02-05 02:32:11+00:00;T I K A;b'bm milo dingin tapi mager ke indomaret masa harus gofood dari mekdi wkwk'
2022-02-05 02:33:04+00:00;Fajar Hidayat;b'Nyari makan di gofood hampir sejam ujung ujungnya makan warteg wkwkwk'
2022-02-05 02:33:04+00:00;Fajar Hidayat;b'Nyari makan di gofood hampir sejam ujung ujungnya makan warteg wkwkwk'
2022-02-05 02:33:41+00:00;Isra Mira;b'Admin gofood ja yuk'
2022-02-05 02:33:41+00:00;Isra Mira;b'Admin gofood ja yuk'
2022-02-05 02:35:24+00:00;Ega Julae;b'Duh di ciracas ngga ada di gofood jg ngga adaaa'
2022-02-05 02:35:24+00:00;Ega Julae;b'Duh di ciracas ngga ada di gofood jg ngga adaaa'
2022-02-05 02:37:26+00:00;snoopyjw??;b'tumben banget abang gue gofood in makanan buat orang rumah'
2022-02-05 02:37:26+00:00;snoopyjw??;b'tumben banget abang gue gofood in makanan buat orang rumah'
2022-02-05 02:37:52+00:00;Dea Oktrifani;b'Dari semua momen di tahun 2021, ada satu momen yang paling berkesan yaitu #kejoG2021 #KasihJempol beliin keluarga m\xe2\x80\xa6 https://t.co/6gdebVJ5JY'
