waktu,username,text;
2022-02-13 16:29:31+00:00,secret,b'Shoppud atau gak grabfood mol';
2022-02-13 16:21:46+00:00,itsrunn,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 16:21:20+00:00,ttsnas,b'Harini lepas dah taktahu nak order apa dalam grabfood shopeefood foodpanda Dengan sendirinya aku masak Hahah tap';
2022-02-13 16:20:15+00:00,عبد الرحمن,b'Beli segelas kopi dikafe harga 30rb gampang bgt bayarnya tp klo beli nasgor esteh ongkir 31rb di grabfood mikirnya se abad';
2022-02-13 16:18:10+00:00,cip,b'gajadi grabfood jadinya shopee food hehe btw ngrasa berdosa bgt bikin bapak kos sm mas sopipud kaget gara gara aku';
2022-02-13 16:15:58+00:00,Kacamata Bulet,b'Kalo cape tugas mah stop dlu nyeduh Indomie kek grabfood dlu jangan cape ngeluh minta nikah';
2022-02-13 16:14:51+00:00,jun 🇮🇩,b'1 secara experience nya ku lebih suka grabfood juga mas haha menurut ku gofood trying so hard to be edgy UX dan UI nya';
2022-02-13 16:13:02+00:00,cobrajava01,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 16:11:50+00:00,moon⚡,b'Nnt pas grabfood pesennya jg mie wkwkw sama aja';
2022-02-13 16:08:33+00:00,memesto subhan,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 16:06:17+00:00,Summer Minibar,b'Ah mahal ni harganya ENAK AJE MAHAL Gih dah buka aplikasi grabfood Ini harganya 40rebuan doang dan dapet poton';
2022-02-13 16:05:49+00:00,Indah Pratiwi,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 16:03:31+00:00,YuniaIntan,b'Andai aku nng Jogja ta nang Sby pasti promo promo Grabfood tergunakan ngge sesok 14Feb Andaaaiiii';
2022-02-13 15:48:41+00:00,gendheng trucuh,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 15:45:00+00:00,VOTE SN ON IDOLLIVE,b'Mau nge grabfood tpi ongkir setara sama belanjaan';
2022-02-13 15:44:42+00:00,AkalSEHAT720429,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 15:37:18+00:00,Khai | AIA LP,b'Boleh Ada kat Grabfood Nanti ada rezeki datang la Boleh lepak';
2022-02-13 15:34:33+00:00,zaa 🐱,b'For me delivery foodpanda la terpaling mahal dekat je tapi delivery dia cecah rm 6 7 Bila tengok gra';
2022-02-13 15:33:15+00:00,ZH,b'RT sedappp beli pakai grabfood self pickup murah sikit hehe';
2022-02-13 15:31:43+00:00,Shandya,b'Dulu di bandung aku sering grabfood cuanki wildan di batununggal Mayan sih Pas ngecek ada cabangnya di';
2022-02-13 15:28:51+00:00,Sahril Ramadan,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 15:26:35+00:00,Ojilkojil,b'Kisah copid hari kelima Pas bgt weekend jd bnyk leha2 aja kek biasa pagi jogging sm berjemur siangnya krn bosan';
2022-02-13 15:24:53+00:00,sp hayo,b'Pesen grabfood cuma buat dititipin rokok sebenernya';
2022-02-13 15:23:41+00:00,puyo,b'Pagi nasi goyenk Siang grabfood tteok Malem sayur asem sama sambel Trs tadi mam nabati';
2022-02-13 15:23:35+00:00,cip,b'memasuki waktu indonesia bagian galau mau grabfood apa engga karena udah jam segini';
2022-02-13 15:13:21+00:00,APRBHEACK,b'RT Kalau ke lg jalan2 ke jl Moses Gatotkaca cobain yakitori enak dan murah namanya Sabi sebrang fast coffee dulu laju Kulit';
2022-02-13 15:12:20+00:00,Dumbo,b'Tak semua orang kaya mcm kau tak semua orang mampu order foodpanda grabfood hari hari cakap memang senang tapi';
2022-02-13 15:11:04+00:00,Gel’ ♡,b'Jam sgni bapak gue pesen grabfood yatuhan jd tergoda';
2022-02-13 15:05:29+00:00,Mozaz,b'promo nya grabfood emang tidak pernah mengecewakan sih';
2022-02-13 15:03:28+00:00,Tian,b'RT Gimana hari minggumu kali ini Refresh lagi moodmu dengan Honey Latte yang mengandung madu murni didalamnya Grabfood Sh';
2022-02-13 15:01:06+00:00,Melinda Sela,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 14:58:41+00:00,Lachimolala,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 14:56:18+00:00,🏆Bigwin February💗 • ꜰᴀɴᴀ🎐,b'RT cerita aku amp ayang yang mau jajan gada uang tenang ayang kan ada promo GrabFood Diskon Kilat sampe 14 Feb ja';
2022-02-13 14:52:46+00:00,pacarnya kimtaehyung,b'Ya Allah laper hujan daritadi grabfood gak dapet driver';
2022-02-13 14:52:07+00:00,Ririn,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 14:51:35+00:00,Hilda Siahaan,b'Karena besok Senin cheating day hari ini kita akhiri dengan makan malam sate yang belinya pake GrabFood';
2022-02-13 14:47:37+00:00,Pitta.co Coffee,b'Besok senin Mood boostermu cek di gofood or grabfood coffee';
2022-02-13 14:45:39+00:00,huh,b'Trit rekomendasi makanan shopeefood gofood grabfood yg mantul sekitaran setiabudi';
2022-02-13 14:43:39+00:00,｡◕‿◕｡,b'Sedang dilema antara pesen grabfood apa masak mie';
2022-02-13 14:41:43+00:00,Anas Syopian,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 14:32:48+00:00,caca,b'Ak pernah pake grabfood jam 2an masi ada sih nder banyak tempat makan yg buka 24 jam juga disini mah';
2022-02-13 14:29:45+00:00,hazmi,b'RT Shortage of staffs And gaji kecik End of the day orang pilih gig job seperti bawak Grab amp buat delivery GrabFood';
2022-02-13 14:28:26+00:00,cowok wangi,b'Dikira yang tukang ambilin grabfood di lobby';
2022-02-13 14:27:47+00:00,alsa 📌njm au,b'gofood grabfood kali aja ada';
2022-02-13 14:26:59+00:00,Ernis Feriandes,b'abis grabfood soto ngawi pesan kerupuk kaleng juga sotonya habis kerupuknya aman di dalam plastik kelupaan dimakan';
