Reksa Dana;Bulan;Y;X1;X2
Reksa Dana Architas Saham Utama;Januari 2016;0,006766;0,000402;1
Reksa Dana Architas Saham Utama;Februari 2016;0,033830;0,029337;1
Reksa Dana Architas Saham Utama;Maret 2016;0,009416;0,011176;1
Reksa Dana Architas Saham Utama;April 2016;-0,010541;-0,005822;0
Reksa Dana Architas Saham Utama;Mei 2016;-0,011506;-0,013041;0
Reksa Dana Architas Saham Utama;Juni 2016;0,046139;0,041397;1
Reksa Dana Architas Saham Utama;Juli 2016;0,032989;0,035315;1
Reksa Dana Architas Saham Utama;Agustus 2016;0,031808;0,028173;1
Reksa Dana Architas Saham Utama;September 2016;-0,008531;-0,008357;0
Reksa Dana Architas Saham Utama;Oktober 2016;0,001024;0,006342;1
Reksa Dana Architas Saham Utama;November 2016;-0,078631;-0,054882;0
Reksa Dana Architas Saham Utama;Desember 2016;0,026188;0,024284;1
Reksa Dana Architas Saham Utama;Januari 2017;-0,012844;-0,004914;0
Reksa Dana Architas Saham Utama;Februari 2017;0,013312;0,013068;1
Reksa Dana Architas Saham Utama;Maret 2017;0,030260;0,029258;1
Reksa Dana Architas Saham Utama;April 2017;0,016632;0,016626;1
Reksa Dana Architas Saham Utama;Mei 2017;0,018070;0,004875;1
Reksa Dana Architas Saham Utama;Juni 2017;0,017112;0,011536;1
Reksa Dana Architas Saham Utama;Juli 2017;-0,006795;-0,002494;0
Reksa Dana Architas Saham Utama;Agustus 2017;-0,001009;-0,000463;0
Reksa Dana Architas Saham Utama;September 2017;-0,003615;0,001853;1
Reksa Dana Architas Saham Utama;Oktober 2017;0,009913;0,013361;1
Reksa Dana Architas Saham Utama;November 2017;-0,003262;-0,013352;0
Reksa Dana Architas Saham Utama;Desember 2017;0,083209;0,063372;1
Reksa Dana Architas Saham Utama;Januari 2018;0,018701;0,034911;1
Reksa Dana Architas Saham Utama;Februari 2018;-0,009923;-0,005694;0
Reksa Dana Architas Saham Utama;Maret 2018;-0,086393;-0,066300;0
Reksa Dana Architas Saham Utama;April 2018;-0,044371;-0,035830;0
Reksa Dana Architas Saham Utama;Mei 2018;-0,002121;-0,006257;0
Reksa Dana Architas Saham Utama;Juni 2018;-0,049338;-0,035230;0
Reksa Dana Architas Saham Utama;Juli 2018;0,023336;0,019237;1
Reksa Dana Architas Saham Utama;Agustus 2018;0,011977;0,009396;1
Reksa Dana Architas Saham Utama;September 2018;-0,009956;-0,011384;0
Reksa Dana Architas Saham Utama;Oktober 2018;-0,027976;-0,028666;0
Reksa Dana Architas Saham Utama;November 2018;0,039823;0,034071;1
Reksa Dana Architas Saham Utama;Desember 2018;0,013668;0,018429;1
Reksa Dana Architas Saham Utama;Januari 2019;0,049564;0,050220;1
Reksa Dana Architas Saham Utama;Februari 2019;-0,036731;-0,018139;0
Reksa Dana Architas Saham Utama;Maret 2019;0,011040;-0,000477;0
Reksa Dana Architas Saham Utama;April 2019;-0,003111;-0,006494;0
