Reksa Dana;Bulan;Y;X1;X2
Reksa Dana Architas Saham Utama;Maret 2020;-0.20;-0.17;0.00
Reksa Dana Architas Saham Utama;April 2020;0.04;0.04;1.00
Reksa Dana Architas Saham Utama;Mei 2020;0.02;0.00;1.00
Reksa Dana Architas Saham Utama;Juni 2020;0.04;0.03;1.00
Reksa Dana Architas Saham Utama;Juli 2020;0.06;0.05;1.00
Reksa Dana Architas Saham Utama;Agustus 2020;0.02;0.18;1.00
Reksa Dana Architas Saham Utama;September 2020;-0.10;-0.20;0.00
Reksa Dana Architas Saham Utama;Oktober 2020;0.06;0.05;1.00
Reksa Dana Architas Saham Utama;November 2020;0.10;0.09;1.00
Reksa Dana Architas Saham Utama;Desember 2020;0.05;0.06;1.00
Reksa Dana Architas Saham Utama;Januari 2021;-0.03;-0.02;0.00
Reksa Dana Architas Saham Utama;Februari 2021;0.03;0.06;1.00
Reksa Dana Architas Saham Utama;Maret 2021;-0.04;-0.04;0.00
Reksa Dana Architas Saham Utama;April 2021;0.00;0.00;0.00
Reksa Dana Architas Saham Utama;Mei 2021;-0.01;-0.01;0.00
Reksa Dana Architas Saham Utama;Juni 2021;-0.04;0.00;1.00
Reksa Dana Architas Saham Utama;Juli 2021;-0.02;0.01;1.00
Reksa Dana Architas Saham Utama;Agustus 2021;0.04;0.01;1.00
Reksa Dana Architas Saham Utama;September 2021;0.03;0.02;1.00
Reksa Dana Architas Saham Utama;Oktober 2021;0.06;0.05;1.00
Reksa Dana Architas Saham Utama;November 2021;-0.02;-0.01;0.00
Reksa Dana Architas Saham Utama;Desember 2021;0.00;0.00;1.00
Reksa Dana Architas Saham Dinamis;Maret 2020;-0.21;-0.17;0.00
Reksa Dana Architas Saham Dinamis;April 2020;0.04;0.04;1.00
Reksa Dana Architas Saham Dinamis;Mei 2020;-0.01;0.00;1.00
Reksa Dana Architas Saham Dinamis;Juni 2020;0.07;0.03;1.00
Reksa Dana Architas Saham Dinamis;Juli 2020;0.06;0.05;1.00
Reksa Dana Architas Saham Dinamis;Agustus 2020;0.02;0.18;1.00
Reksa Dana Architas Saham Dinamis;September 2020;-0.07;-0.20;0.00
Reksa Dana Architas Saham Dinamis;Oktober 2020;0.07;0.05;1.00
Reksa Dana Architas Saham Dinamis;November 2020;0.11;0.09;1.00
Reksa Dana Architas Saham Dinamis;Desember 2020;0.12;0.06;1.00
Reksa Dana Architas Saham Dinamis;Januari 2021;-0.01;-0.02;0.00
Reksa Dana Architas Saham Dinamis;Februari 2021;0.06;0.06;1.00
Reksa Dana Architas Saham Dinamis;Maret 2021;-0.08;-0.04;0.00
Reksa Dana Architas Saham Dinamis;April 2021;0.01;0.00;0.00
Reksa Dana Architas Saham Dinamis;Mei 2021;-0.03;-0.01;0.00
Reksa Dana Architas Saham Dinamis;Juni 2021;-0.03;0.00;1.00
Reksa Dana Architas Saham Dinamis;Juli 2021;0.01;0.01;1.00
Reksa Dana Architas Saham Dinamis;Agustus 2021;0.02;0.01;1.00
Reksa Dana Architas Saham Dinamis;September 2021;0.06;0.02;1.00
Reksa Dana Architas Saham Dinamis;Oktober 2021;0.04;0.05;1.00
Reksa Dana Architas Saham Dinamis;November 2021;-0.03;-0.01;0.00
Reksa Dana Architas Saham Dinamis;Desember 2021;0.01;0.00;1.00
Reksa Dana Avrist Equity Cross Sectoral;Maret 2020;-0.19;-0.17;0.00
Reksa Dana Avrist Equity Cross Sectoral;April 2020;0.05;0.04;1.00
Reksa Dana Avrist Equity Cross Sectoral;Mei 2020;0.01;0.00;1.00
Reksa Dana Avrist Equity Cross Sectoral;Juni 2020;0.03;0.03;1.00
Reksa Dana Avrist Equity Cross Sectoral;Juli 2020;0.05;0.05;1.00
Reksa Dana Avrist Equity Cross Sectoral;Agustus 2020;0.02;0.18;1.00
Reksa Dana Avrist Equity Cross Sectoral;September 2020;-0.10;-0.20;0.00
Reksa Dana Avrist Equity Cross Sectoral;Oktober 2020;0.06;0.05;1.00
Reksa Dana Avrist Equity Cross Sectoral;November 2020;0.09;0.09;1.00
Reksa Dana Avrist Equity Cross Sectoral;Desember 2020;0.05;0.06;1.00
Reksa Dana Avrist Equity Cross Sectoral;Januari 2021;-0.03;-0.02;0.00
Reksa Dana Avrist Equity Cross Sectoral;Februari 2021;0.05;0.06;1.00
Reksa Dana Avrist Equity Cross Sectoral;Maret 2021;-0.04;-0.04;0.00
Reksa Dana Avrist Equity Cross Sectoral;April 2021;0.00;0.00;0.00
Reksa Dana Avrist Equity Cross Sectoral;Mei 2021;-0.01;-0.01;0.00
Reksa Dana Avrist Equity Cross Sectoral;Juni 2021;-0.03;0.00;1.00
Reksa Dana Avrist Equity Cross Sectoral;Juli 2021;0.00;0.01;1.00
Reksa Dana Avrist Equity Cross Sectoral;Agustus 2021;0.01;0.01;1.00
Reksa Dana Avrist Equity Cross Sectoral;September 2021;0.04;0.02;1.00
Reksa Dana Avrist Equity Cross Sectoral;Oktober 2021;0.08;0.05;1.00
Reksa Dana Avrist Equity Cross Sectoral;November 2021;-0.02;-0.01;0.00
Reksa Dana Avrist Equity Cross Sectoral;Desember 2021;0.00;0.00;1.00
