Reksa Dana;Bulan;Y;X1;X2
Reksa Dana Architas Saham Utama;Januari 2016;0.01;0.00;0.00
Reksa Dana Architas Saham Utama;Februari 2016;0.03;0.03;0.00
Reksa Dana Architas Saham Utama;Maret 2016;0.01;0.01;0.00
Reksa Dana Architas Saham Utama;April 2016;-0.01;-0.01;0.00
Reksa Dana Architas Saham Utama;Mei 2016;-0.01;-0.01;0.00
Reksa Dana Architas Saham Utama;Juni 2016;0.05;0.04;0.00
Reksa Dana Architas Saham Utama;Juli 2016;0.03;0.04;0.00
Reksa Dana Architas Saham Utama;Agustus 2016;0.03;0.03;0.00
Reksa Dana Architas Saham Utama;September 2016;-0.01;-0.01;0.00
Reksa Dana Architas Saham Utama;Oktober 2016;0.00;0.01;0.00
Reksa Dana Architas Saham Utama;November 2016;-0.08;-0.05;0.00
Reksa Dana Architas Saham Utama;Desember 2016;0.03;0.02;0.00
Reksa Dana Architas Saham Utama;Januari 2017;-0.01;0.00;0.00
Reksa Dana Architas Saham Utama;Februari 2017;0.01;0.01;0.00
Reksa Dana Architas Saham Utama;Maret 2017;0.03;0.03;0.00
Reksa Dana Architas Saham Utama;April 2017;0.02;0.02;0.00
Reksa Dana Architas Saham Utama;Mei 2017;0.02;0.00;0.00
Reksa Dana Architas Saham Utama;Juni 2017;0.02;0.01;0.00
Reksa Dana Architas Saham Utama;Juli 2017;-0.01;0.00;0.00
Reksa Dana Architas Saham Utama;Agustus 2017;0.00;0.00;0.00
Reksa Dana Architas Saham Utama;September 2017;0.00;0.00;0.00
Reksa Dana Architas Saham Utama;Oktober 2017;0.01;0.01;0.00
Reksa Dana Architas Saham Utama;November 2017;0.00;-0.01;0.00
Reksa Dana Architas Saham Utama;Desember 2017;0.08;0.06;0.00
Reksa Dana Architas Saham Utama;Januari 2018;0.02;0.03;0.00
Reksa Dana Architas Saham Utama;Februari 2018;-0.01;-0.01;0.00
Reksa Dana Architas Saham Utama;Maret 2018;-0.09;-0.07;0.00
Reksa Dana Architas Saham Utama;April 2018;-0.04;-0.04;0.00
Reksa Dana Architas Saham Utama;Mei 2018;0.00;-0.01;0.00
Reksa Dana Architas Saham Utama;Juni 2018;-0.05;-0.04;0.00
Reksa Dana Architas Saham Utama;Juli 2018;0.02;0.02;0.00
Reksa Dana Architas Saham Utama;Agustus 2018;0.01;0.01;0.00
Reksa Dana Architas Saham Utama;September 2018;-0.01;-0.01;0.00
Reksa Dana Architas Saham Utama;Oktober 2018;-0.03;-0.03;0.00
Reksa Dana Architas Saham Utama;November 2018;0.04;0.03;0.00
Reksa Dana Architas Saham Utama;Desember 2018;0.01;0.02;0.00
Reksa Dana Architas Saham Utama;Januari 2019;0.05;0.05;0.00
Reksa Dana Architas Saham Utama;Februari 2019;-0.04;-0.02;0.00
Reksa Dana Architas Saham Utama;Maret 2019;0.01;0.00;0.00
Reksa Dana Architas Saham Utama;April 2019;0.00;-0.01;0.00
Reksa Dana Architas Saham Utama;Mei 2019;-0.03;-0.04;0.00
Reksa Dana Architas Saham Utama;Juni 2019;0.03;0.02;0.00
Reksa Dana Architas Saham Utama;Juli 2019;0.00;0.00;0.00
Reksa Dana Architas Saham Utama;Agustus 2019;-0.03;-0.01;0.00
Reksa Dana Architas Saham Utama;September 2019;-0.04;-0.03;0.00
Reksa Dana Architas Saham Utama;Oktober 2019;0.01;0.01;0.00
Reksa Dana Architas Saham Utama;November 2019;-0.04;-0.04;0.00
Reksa Dana Architas Saham Utama;Desember 2019;0.05;0.04;0.00
Reksa Dana Architas Saham Utama;Januari 2020;-0.06;-0.06;0.00
Reksa Dana Architas Saham Utama;Februari 2020;-0.09;-0.09;0.01
Reksa Dana Architas Saham Dinamis;Januari 2016;0.01;0.00;0.00
Reksa Dana Architas Saham Dinamis;Februari 2016;0.03;0.03;0.00
Reksa Dana Architas Saham Dinamis;Maret 2016;0.01;0.01;0.00
Reksa Dana Architas Saham Dinamis;April 2016;-0.01;-0.01;0.00
Reksa Dana Architas Saham Dinamis;Mei 2016;-0.01;-0.01;0.00
Reksa Dana Architas Saham Dinamis;Juni 2016;0.04;0.04;0.00
Reksa Dana Architas Saham Dinamis;Juli 2016;0.03;0.04;0.00
Reksa Dana Architas Saham Dinamis;Agustus 2016;0.03;0.03;0.00
Reksa Dana Architas Saham Dinamis;September 2016;-0.01;-0.01;0.00
Reksa Dana Architas Saham Dinamis;Oktober 2016;0.00;0.01;0.00
Reksa Dana Architas Saham Dinamis;November 2016;-0.08;-0.05;0.00
Reksa Dana Architas Saham Dinamis;Desember 2016;0.02;0.02;0.00
Reksa Dana Architas Saham Dinamis;Januari 2017;-0.01;0.00;0.00
Reksa Dana Architas Saham Dinamis;Februari 2017;0.01;0.01;0.00
Reksa Dana Architas Saham Dinamis;Maret 2017;0.03;0.03;0.00
Reksa Dana Architas Saham Dinamis;April 2017;0.02;0.02;0.00
Reksa Dana Architas Saham Dinamis;Mei 2017;0.02;0.00;0.00
Reksa Dana Architas Saham Dinamis;Juni 2017;0.02;0.01;0.00
Reksa Dana Architas Saham Dinamis;Juli 2017;-0.01;0.00;0.00
Reksa Dana Architas Saham Dinamis;Agustus 2017;0.00;0.00;0.00
Reksa Dana Architas Saham Dinamis;September 2017;0.00;0.00;0.00
Reksa Dana Architas Saham Dinamis;Oktober 2017;0.01;0.01;0.00
Reksa Dana Architas Saham Dinamis;November 2017;-0.01;-0.01;0.00
Reksa Dana Architas Saham Dinamis;Desember 2017;0.08;0.06;0.00
Reksa Dana Architas Saham Dinamis;Januari 2018;0.02;0.03;0.00
Reksa Dana Architas Saham Dinamis;Februari 2018;-0.01;-0.01;0.00
Reksa Dana Architas Saham Dinamis;Maret 2018;-0.09;-0.07;0.00
Reksa Dana Architas Saham Dinamis;April 2018;-0.04;-0.04;0.00
Reksa Dana Architas Saham Dinamis;Mei 2018;0.00;-0.01;0.00
Reksa Dana Architas Saham Dinamis;Juni 2018;-0.05;-0.04;0.00
Reksa Dana Architas Saham Dinamis;Juli 2018;0.02;0.02;0.00
Reksa Dana Architas Saham Dinamis;Agustus 2018;0.01;0.01;0.00
Reksa Dana Architas Saham Dinamis;September 2018;-0.01;-0.01;0.00
Reksa Dana Architas Saham Dinamis;Oktober 2018;-0.03;-0.03;0.00
Reksa Dana Architas Saham Dinamis;November 2018;0.04;0.03;0.00
Reksa Dana Architas Saham Dinamis;Desember 2018;0.01;0.02;0.00
Reksa Dana Architas Saham Dinamis;Januari 2019;0.05;0.05;0.00
Reksa Dana Architas Saham Dinamis;Februari 2019;-0.04;-0.02;0.00
Reksa Dana Architas Saham Dinamis;Maret 2019;0.01;0.00;0.00
Reksa Dana Architas Saham Dinamis;April 2019;-0.01;-0.01;0.00
Reksa Dana Architas Saham Dinamis;Mei 2019;-0.03;-0.04;0.00
Reksa Dana Architas Saham Dinamis;Juni 2019;0.03;0.02;0.00
Reksa Dana Architas Saham Dinamis;Juli 2019;-0.01;0.00;0.00
Reksa Dana Architas Saham Dinamis;Agustus 2019;-0.03;-0.01;0.00
Reksa Dana Architas Saham Dinamis;September 2019;-0.04;-0.03;0.00
Reksa Dana Architas Saham Dinamis;Oktober 2019;0.01;0.01;0.00
Reksa Dana Architas Saham Dinamis;November 2019;-0.04;-0.04;0.00
Reksa Dana Architas Saham Dinamis;Desember 2019;0.05;0.04;0.00
Reksa Dana Architas Saham Dinamis;Januari 2020;-0.06;-0.06;0.00
Reksa Dana Architas Saham Dinamis;Februari 2020;-0.09;-0.09;0.01
Reksa Dana Avrist Equity Cross Sectoral;Januari 2016;-0.01;0.00;0.00
Reksa Dana Avrist Equity Cross Sectoral;Februari 2016;0.03;0.03;0.00
Reksa Dana Avrist Equity Cross Sectoral;Maret 2016;0.02;0.01;0.00
Reksa Dana Avrist Equity Cross Sectoral;April 2016;-0.01;-0.01;0.00
Reksa Dana Avrist Equity Cross Sectoral;Mei 2016;-0.01;-0.01;0.00
Reksa Dana Avrist Equity Cross Sectoral;Juni 2016;0.06;0.04;0.00
Reksa Dana Avrist Equity Cross Sectoral;Juli 2016;0.03;0.04;0.00
Reksa Dana Avrist Equity Cross Sectoral;Agustus 2016;0.02;0.03;0.00
Reksa Dana Avrist Equity Cross Sectoral;September 2016;-0.02;-0.01;0.00
Reksa Dana Avrist Equity Cross Sectoral;Oktober 2016;0.00;0.01;0.00
Reksa Dana Avrist Equity Cross Sectoral;November 2016;-0.08;-0.05;0.00
Reksa Dana Avrist Equity Cross Sectoral;Desember 2016;0.02;0.02;0.00
Reksa Dana Avrist Equity Cross Sectoral;Januari 2017;-0.03;0.00;0.00
Reksa Dana Avrist Equity Cross Sectoral;Februari 2017;0.02;0.01;0.00
Reksa Dana Avrist Equity Cross Sectoral;Maret 2017;0.02;0.03;0.00
Reksa Dana Avrist Equity Cross Sectoral;April 2017;0.01;0.02;0.00
Reksa Dana Avrist Equity Cross Sectoral;Mei 2017;0.01;0.00;0.00
Reksa Dana Avrist Equity Cross Sectoral;Juni 2017;0.01;0.01;0.00
Reksa Dana Avrist Equity Cross Sectoral;Juli 2017;0.00;0.00;0.00
Reksa Dana Avrist Equity Cross Sectoral;Agustus 2017;-0.02;0.00;0.00
Reksa Dana Avrist Equity Cross Sectoral;September 2017;-0.01;0.00;0.00
Reksa Dana Avrist Equity Cross Sectoral;Oktober 2017;0.00;0.01;0.00
Reksa Dana Avrist Equity Cross Sectoral;November 2017;0.00;-0.01;0.00
Reksa Dana Avrist Equity Cross Sectoral;Desember 2017;0.07;0.06;0.00
Reksa Dana Avrist Equity Cross Sectoral;Januari 2018;0.01;0.03;0.00
Reksa Dana Avrist Equity Cross Sectoral;Februari 2018;-0.01;-0.01;0.00
Reksa Dana Avrist Equity Cross Sectoral;Maret 2018;-0.08;-0.07;0.00
Reksa Dana Avrist Equity Cross Sectoral;April 2018;-0.05;-0.04;0.00
Reksa Dana Avrist Equity Cross Sectoral;Mei 2018;0.00;-0.01;0.00
Reksa Dana Avrist Equity Cross Sectoral;Juni 2018;-0.05;-0.04;0.00
Reksa Dana Avrist Equity Cross Sectoral;Juli 2018;0.02;0.02;0.00
Reksa Dana Avrist Equity Cross Sectoral;Agustus 2018;0.00;0.01;0.00
Reksa Dana Avrist Equity Cross Sectoral;September 2018;-0.01;-0.01;0.00
Reksa Dana Avrist Equity Cross Sectoral;Oktober 2018;-0.02;-0.03;0.00
