Reksa Dana;Bulan;Y;X1;X2
Reksa Dana Architas Saham Utama;Maret 2020;-0,203944;-0,170744;0,029154
Reksa Dana Architas Saham Utama;April 2020;0,036758;0,035937;0,001291
Reksa Dana Architas Saham Utama;Mei 2020;0,016042;0,004727;0,000022
Reksa Dana Architas Saham Utama;Juni 2020;0,040445;0,028767;0,000828
Reksa Dana Architas Saham Utama;Juli 2020;0,056910;0,046627;0,002174
Reksa Dana Architas Saham Utama;Agustus 2020;0,019268;0,176314;0,031087
Reksa Dana Architas Saham Utama;September 2020;-0,097746;-0,201361;0,040546
Reksa Dana Architas Saham Utama;Oktober 2020;0,061693;0,049853;0,002485
Reksa Dana Architas Saham Utama;November 2020;0,096978;0,091254;0,008327
Reksa Dana Architas Saham Utama;Desember 2020;0,054355;0,062165;0,003865
Reksa Dana Architas Saham Utama;Januari 2021;-0,028693;-0,022684;0,000515
Reksa Dana Architas Saham Utama;Februari 2021;0,027243;0,061564;0,003790
Reksa Dana Architas Saham Utama;Maret 2021;-0,039217;-0,044222;0,001956
Reksa Dana Architas Saham Utama;April 2021;-0,003772;-0,001475;0,000002
Reksa Dana Architas Saham Utama;Mei 2021;-0,013466;-0,011195;0,000125
Reksa Dana Architas Saham Utama;Juni 2021;-0,042587;0,003231;0,000010
Reksa Dana Architas Saham Utama;Juli 2021;-0,024174;0,010963;0,000120
Reksa Dana Architas Saham Utama;Agustus 2021;0,042599;0,010059;0,000101
Reksa Dana Architas Saham Utama;September 2021;0,030410;0,019054;0,000363
Reksa Dana Architas Saham Utama;Oktober 2021;0,058633;0,045257;0,002048
Reksa Dana Architas Saham Utama;November 2021;-0,023258;-0,011874;0,000141
Reksa Dana Architas Saham Utama;Desember 2021;0,003968;0,004115;0,000017
Reksa Dana Architas Saham Dinamis;Maret 2020;-0,208358;-0,170744;0,029154
Reksa Dana Architas Saham Dinamis;April 2020;0,036648;0,035937;0,001291
Reksa Dana Architas Saham Dinamis;Mei 2020;-0,009011;0,004727;0,000022
Reksa Dana Architas Saham Dinamis;Juni 2020;0,072192;0,028767;0,000828
Reksa Dana Architas Saham Dinamis;Juli 2020;0,061669;0,046627;0,002174
Reksa Dana Architas Saham Dinamis;Agustus 2020;0,022598;0,176314;0,031087
Reksa Dana Architas Saham Dinamis;September 2020;-0,072533;-0,201361;0,040546
Reksa Dana Architas Saham Dinamis;Oktober 2020;0,070777;0,049853;0,002485
Reksa Dana Architas Saham Dinamis;November 2020;0,105703;0,091254;0,008327
Reksa Dana Architas Saham Dinamis;Desember 2020;0,120374;0,062165;0,003865
Reksa Dana Architas Saham Dinamis;Januari 2021;-0,012417;-0,022684;0,000515
Reksa Dana Architas Saham Dinamis;Februari 2021;0,058873;0,061564;0,003790
Reksa Dana Architas Saham Dinamis;Maret 2021;-0,084186;-0,044222;0,001956
Reksa Dana Architas Saham Dinamis;April 2021;0,013540;-0,001475;0,000002
Reksa Dana Architas Saham Dinamis;Mei 2021;-0,031515;-0,011195;0,000125
Reksa Dana Architas Saham Dinamis;Juni 2021;-0,033290;0,003231;0,000010
Reksa Dana Architas Saham Dinamis;Juli 2021;0,010055;0,010963;0,000120
Reksa Dana Architas Saham Dinamis;Agustus 2021;0,016227;0,010059;0,000101
Reksa Dana Architas Saham Dinamis;September 2021;0,060332;0,019054;0,000363
Reksa Dana Architas Saham Dinamis;Oktober 2021;0,035692;0,045257;0,002048
Reksa Dana Architas Saham Dinamis;November 2021;-0,032878;-0,011874;0,000141
Reksa Dana Architas Saham Dinamis;Desember 2021;0,009459;0,004115;0,000017
Reksa Dana Avrist Equity Cross Sectoral;Maret 2020;-0,185793;-0,170744;0,029154
Reksa Dana Avrist Equity Cross Sectoral;April 2020;0,045219;0,035937;0,001291
Reksa Dana Avrist Equity Cross Sectoral;Mei 2020;0,013291;0,004727;0,000022
Reksa Dana Avrist Equity Cross Sectoral;Juni 2020;0,032453;0,028767;0,000828
Reksa Dana Avrist Equity Cross Sectoral;Juli 2020;0,054820;0,046627;0,002174
Reksa Dana Avrist Equity Cross Sectoral;Agustus 2020;0,015709;0,176314;0,031087
Reksa Dana Avrist Equity Cross Sectoral;September 2020;-0,099976;-0,201361;0,040546
Reksa Dana Avrist Equity Cross Sectoral;Oktober 2020;0,056725;0,049853;0,002485
Reksa Dana Avrist Equity Cross Sectoral;November 2020;0,087420;0,091254;0,008327
Reksa Dana Avrist Equity Cross Sectoral;Desember 2020;0,054130;0,062165;0,003865
Reksa Dana Avrist Equity Cross Sectoral;Januari 2021;-0,034951;-0,022684;0,000515
Reksa Dana Avrist Equity Cross Sectoral;Februari 2021;0,048424;0,061564;0,003790
Reksa Dana Avrist Equity Cross Sectoral;Maret 2021;-0,037454;-0,044222;0,001956
Reksa Dana Avrist Equity Cross Sectoral;April 2021;-0,000787;-0,001475;0,000002
Reksa Dana Avrist Equity Cross Sectoral;Mei 2021;-0,006902;-0,011195;0,000125
Reksa Dana Avrist Equity Cross Sectoral;Juni 2021;-0,030776;0,003231;0,000010
